text,label
Not happy with this laptop 10,negative
Happy with this headphones overall 100,positive
This watch is disappointing 96,negative
This laptop works well 53,positive
I really like this phone 109,positive
The headphones is not worth the price 59,negative
The watch quality is bad 144,negative
This headphones works well 35,positive
I regret buying this shoes 174,negative
The laptop quality is bad 24,negative
This laptop works well 17,positive
The shoes is not worth the price 92,negative
The laptop performs nicely 95,positive
The phone performs nicely 65,positive
The headphones is not worth the price 55,negative
This shoes works well 117,positive
The phone performs nicely 24,positive
The headphones performs nicely 49,positive
The watch is not worth the price 183,negative
Happy with this phone overall 70,positive
The watch quality is bad 58,negative
Happy with this watch overall 148,positive
This headphones works well 192,positive
Not happy with this phone 181,negative
This laptop is disappointing 158,negative
The phone is not worth the price 54,negative
This laptop works well 130,positive
Satisfied with this laptop 74,positive
The phone performs nicely 158,positive
The laptop performs nicely 39,positive
The phone is not worth the price 123,negative
I really like this shoes 165,positive
This headphones works well 170,positive
Satisfied with this shoes 57,positive
I regret buying this watch 138,negative
I really like this phone 190,positive
This shoes works poorly 195,negative
This phone works well 3,positive
I regret buying this watch 141,negative
Happy with this headphones overall 79,positive
The laptop performs nicely 40,positive
The watch quality is bad 147,negative
This laptop works poorly 129,negative
I regret buying this headphones 38,negative
Not happy with this laptop 185,negative
This watch is disappointing 28,negative
This phone is disappointing 156,negative
This watch works poorly 106,negative
This headphones works well 182,positive
Not happy with this headphones 161,negative
This watch works poorly 119,negative
The laptop performs nicely 163,positive
I regret buying this headphones 0,negative
Not happy with this laptop 102,negative
This phone works well 159,positive
I really like this shoes 92,positive
This watch is disappointing 142,negative
I really like this laptop 48,positive
Satisfied with this shoes 13,positive
The laptop quality is good 183,positive
This phone works poorly 66,negative
The headphones is not worth the price 70,negative
Happy with this phone overall 0,positive
The watch performs nicely 131,positive
The phone quality is bad 33,negative
This phone works well 29,positive
Not happy with this laptop 23,negative
This watch is disappointing 20,negative
This shoes works poorly 128,negative
The phone quality is good 22,positive
Not happy with this headphones 133,negative
The shoes performs nicely 9,positive
The headphones quality is bad 126,negative
Satisfied with this shoes 102,positive
This laptop works poorly 157,negative
This shoes works poorly 69,negative
I regret buying this headphones 175,negative
The phone performs nicely 177,positive
I really like this headphones 105,positive
The phone performs nicely 84,positive
The phone quality is bad 78,negative
This headphones is disappointing 110,negative
This headphones works well 171,positive
The headphones is not worth the price 22,negative
The headphones performs nicely 85,positive
This laptop works well 104,positive
I really like this laptop 89,positive
This watch works poorly 3,negative
The laptop is not worth the price 18,negative
Happy with this phone overall 125,positive
Satisfied with this phone 162,positive
This phone works well 111,positive
I regret buying this shoes 166,negative
I really like this headphones 46,positive
Happy with this shoes overall 71,positive
The laptop is not worth the price 171,negative
I really like this watch 166,positive
The phone quality is bad 197,negative
Satisfied with this laptop 120,positive
This headphones works well 44,positive
The shoes quality is good 193,positive
The headphones is not worth the price 179,negative
This laptop is disappointing 113,negative
The phone is not worth the price 15,negative
This headphones works poorly 53,negative
The shoes quality is bad 16,negative
This headphones works well 195,positive
Not happy with this shoes 190,negative
I regret buying this headphones 172,negative
The watch quality is bad 65,negative
The laptop is not worth the price 14,negative
Satisfied with this laptop 172,positive
The watch is not worth the price 57,negative
Not happy with this phone 125,negative
Not happy with this headphones 118,negative
This watch is disappointing 121,negative
I regret buying this shoes 178,negative
This headphones works well 82,positive
The headphones is not worth the price 177,negative
This phone is disappointing 143,negative
I really like this shoes 10,positive
I really like this headphones 153,positive
I really like this headphones 20,positive
This shoes is disappointing 39,negative
Happy with this phone overall 126,positive
Not happy with this laptop 169,negative
I regret buying this headphones 152,negative
The phone performs nicely 69,positive
Satisfied with this phone 103,positive
This shoes works well 179,positive
This shoes works poorly 100,negative
This laptop works poorly 160,negative
This watch is disappointing 61,negative
The phone quality is good 31,positive
I really like this headphones 112,positive
I really like this headphones 73,positive
The shoes is not worth the price 35,negative
The laptop is not worth the price 116,negative
I regret buying this headphones 52,negative
Happy with this shoes overall 191,positive
This watch is disappointing 86,negative
The phone performs nicely 78,positive
This watch is disappointing 2,negative
Satisfied with this headphones 42,positive
This watch works well 15,positive
The phone quality is good 18,positive
The watch is not worth the price 62,negative
I regret buying this headphones 11,negative
The headphones performs nicely 68,positive
The laptop is not worth the price 63,negative
The watch quality is bad 99,negative
This laptop is disappointing 91,negative
The laptop is not worth the price 107,negative
The watch quality is bad 193,negative
Satisfied with this headphones 101,positive
This headphones is disappointing 79,negative
This watch works well 119,positive
The laptop quality is good 36,positive
I regret buying this laptop 155,negative
This shoes works poorly 137,negative
Happy with this shoes overall 147,positive
The shoes is not worth the price 151,negative
The headphones quality is good 16,positive
Not happy with this shoes 122,negative
The laptop is not worth the price 115,negative
This shoes works poorly 98,negative
This laptop works poorly 9,negative
I really like this headphones 1,positive
The shoes is not worth the price 77,negative
Happy with this phone overall 38,positive
The laptop quality is good 88,positive
Happy with this watch overall 122,positive
Happy with this shoes overall 80,positive
This watch works well 41,positive
I really like this watch 135,positive
This watch is disappointing 199,negative
I really like this shoes 106,positive
This watch works well 50,positive
I really like this laptop 30,positive
I regret buying this watch 180,negative
This laptop is disappointing 19,negative
Happy with this shoes overall 152,positive
Not happy with this phone 26,negative
This laptop is disappointing 30,negative
This headphones works well 194,positive
The headphones quality is bad 67,negative
Happy with this watch overall 115,positive
The laptop quality is bad 13,negative
Not happy with this shoes 85,negative
The watch performs nicely 60,positive
I really like this watch 127,positive
The headphones is not worth the price 187,negative
The watch performs nicely 155,positive
This laptop is disappointing 88,negative
Happy with this headphones overall 76,positive
The laptop performs nicely 77,positive
This watch works poorly 124,negative
I regret buying this watch 95,negative
Happy with this headphones overall 37,positive
Not happy with this phone 120,negative
I regret buying this phone 5,negative
Satisfied with this headphones 33,positive
Satisfied with this headphones 58,positive
Not happy with this shoes 44,negative
I really like this laptop 129,positive
The headphones performs nicely 26,positive
The laptop quality is bad 145,negative
The watch is not worth the price 196,negative
The phone is not worth the price 25,negative
This phone works poorly 45,negative
The phone quality is bad 40,negative
The watch quality is good 145,positive
Not happy with this phone 93,negative
Satisfied with this phone 6,positive
This headphones works well 52,positive
This watch works poorly 176,negative
Not happy with this watch 127,negative
This laptop works well 149,positive
The laptop quality is bad 162,negative
Happy with this shoes overall 27,positive
Happy with this watch overall 23,positive
Satisfied with this watch 140,positive
Happy with this watch overall 64,positive
This watch works poorly 73,negative
I really like this phone 7,positive
I really like this phone 154,positive
I really like this watch 91,positive
Satisfied with this shoes 184,positive
This shoes works well 116,positive
I really like this shoes 151,positive
Happy with this laptop overall 99,positive
Satisfied with this watch 51,positive
I really like this watch 144,positive
This watch is disappointing 194,negative
This watch is disappointing 68,negative
Not happy with this shoes 101,negative
This phone is disappointing 192,negative
This headphones is disappointing 47,negative
Happy with this phone overall 110,positive
The phone quality is bad 149,negative
Happy with this watch overall 94,positive
The laptop is not worth the price 74,negative
Not happy with this phone 150,negative
Happy with this laptop overall 161,positive
This shoes works well 98,positive
I really like this phone 61,positive
The watch performs nicely 118,positive
Happy with this headphones overall 128,positive
I regret buying this headphones 167,negative
I really like this phone 138,positive
Not happy with this headphones 32,negative
The laptop quality is good 180,positive
The headphones quality is good 169,positive
This phone is disappointing 81,negative
Not happy with this shoes 17,negative
Satisfied with this shoes 176,positive
Not happy with this watch 71,negative
Not happy with this shoes 83,negative
Not happy with this headphones 42,negative
The phone quality is good 188,positive
The shoes is not worth the price 97,negative
This shoes works poorly 139,negative
The shoes performs nicely 156,positive
Satisfied with this watch 124,positive
The phone is not worth the price 154,negative
This phone works poorly 7,negative
I really like this shoes 113,positive
The laptop quality is good 150,positive
Satisfied with this headphones 47,positive
This laptop works well 8,positive
The headphones quality is bad 29,negative
The watch quality is bad 51,negative
The phone is not worth the price 164,negative
Not happy with this laptop 130,negative
The headphones is not worth the price 43,negative
This phone is disappointing 153,negative
The shoes is not worth the price 186,negative
The headphones quality is bad 191,negative
This laptop works poorly 50,negative
The shoes quality is bad 8,negative
This watch works poorly 168,negative
The watch quality is good 123,positive
Happy with this shoes overall 43,positive
The watch performs nicely 97,positive
This shoes works poorly 64,negative
I really like this shoes 5,positive
I regret buying this watch 84,negative
Satisfied with this laptop 141,positive
Not happy with this phone 159,negative
This headphones is disappointing 105,negative
This watch works well 143,positive
Satisfied with this headphones 174,positive
This watch works well 132,positive
The phone quality is good 181,positive
The laptop performs nicely 108,positive
